监测子站名称,城市,时间,季节,SO2,NO2,O3,CO_mg/m3,CO_μg/m3,PM10,PM2.5,SO2_标准化,NO2_标准化,O3_标准化,CO_μg/m3_标准化,PM10_标准化,PM2.5_标准化,SO2_环比变化率(%),NO2_环比变化率(%),O3_环比变化率(%),CO_μg/m3_环比变化率(%),PM10_环比变化率(%),PM2.5_环比变化率(%),综合污染指数
南城元岭 (东莞),东莞,2021-01,冬季,7,37,53,1.0,1000.0,47,29,0.41666666666666663,0.6346153846153846,0.25773195876288657,1.0,0.6206896551724137,0.5476190476190477,0.0,0.0,0.0,0.0,0.0,0.0,3.477322712836399
南城元岭 (东莞),东莞,2021-02,冬季,6,23,52,0.9,900.0,24,16,0.33333333333333337,0.3653846153846154,0.24742268041237114,0.8571428571428572,0.22413793103448276,0.23809523809523808,-14.28571428571429,-37.83783783783784,-1.8867924528301883,-9.999999999999998,-48.93617021276596,-44.827586206896555,2.265516655402898
南城元岭 (东莞),东莞,2021-03,春季,8,31,77,0.8,800.0,36,20,0.5,0.5192307692307692,0.5051546391752577,0.7142857142857142,0.4310344827586207,0.3333333333333333,33.33333333333333,34.78260869565217,48.07692307692308,-11.111111111111116,50.0,25.0,3.0030389387836953
南城元岭 (东莞),东莞,2021-04,春季,9,26,76,0.6,600.0,39,19,0.5833333333333334,0.4230769230769231,0.4948453608247423,0.42857142857142855,0.4827586206896552,0.3095238095238095,12.5,-16.129032258064512,-1.2987012987012991,-25.0,8.333333333333325,-5.000000000000004,2.7221094760198916
南城元岭 (东莞),东莞,2021-05,春季,9,24,73,0.7,700.0,32,16,0.5833333333333334,0.38461538461538464,0.4639175257731959,0.5714285714285714,0.3620689655172414,0.23809523809523808,0.0,-7.692307692307687,-3.9473684210526327,16.666666666666675,-17.948717948717952,-15.789473684210531,2.603459018762965
南城元岭 (东莞),东莞,2021-06,夏季,6,18,42,0.6,600.0,20,9,0.33333333333333337,0.2692307692307692,0.14432989690721654,0.42857142857142855,0.15517241379310348,0.07142857142857142,-33.333333333333336,-25.0,-42.465753424657535,-14.28571428571429,-37.5,-43.75,1.4020664132644225
南城元岭 (东莞),东莞,2021-07,夏季,8,20,69,0.7,700.0,31,14,0.5,0.3076923076923077,0.4226804123711341,0.5714285714285714,0.3448275862068965,0.19047619047619047,33.33333333333333,11.111111111111116,64.28571428571428,16.666666666666675,55.00000000000001,55.55555555555556,2.3371050681751004
南城元岭 (东莞),东莞,2021-08,夏季,8,24,55,0.7,700.0,26,12,0.5,0.38461538461538464,0.27835051546391754,0.5714285714285714,0.25862068965517243,0.14285714285714285,0.0,19.999999999999996,-20.28985507246377,0.0,-16.129032258064512,-14.28571428571429,2.1358723040201886
南城元岭 (东莞),东莞,2021-09,秋季,11,25,111,0.8,800.0,54,28,0.75,0.40384615384615385,0.8556701030927835,0.7142857142857142,0.7413793103448276,0.5238095238095237,37.5,4.166666666666674,101.81818181818181,14.28571428571428,107.69230769230771,133.33333333333334,3.988990805379003
南城元岭 (东莞),东莞,2021-10,秋季,10,24,98,0.7,700.0,46,21,0.6666666666666666,0.38461538461538464,0.7216494845360825,0.5714285714285714,0.603448275862069,0.35714285714285715,-9.090909090909093,-4.0000000000000036,-11.711711711711715,-12.5,-14.814814814814813,-25.0,3.304951240251631
南城元岭 (东莞),东莞,2021-11,秋季,10,35,53,0.9,900.0,43,25,0.6666666666666666,0.5961538461538463,0.25773195876288657,0.8571428571428572,0.5517241379310345,0.4523809523809524,0.0,45.83333333333333,-45.91836734693877,28.57142857142858,-6.521739130434778,19.047619047619047,3.3818004190382434
南城元岭 (东莞),东莞,2021-12,冬季,9,29,53,0.6,600.0,40,23,0.5833333333333334,0.4807692307692308,0.25773195876288657,0.42857142857142855,0.5,0.4047619047619047,-9.999999999999998,-17.14285714285714,0.0,-33.333333333333336,-6.976744186046513,-7.9999999999999964,2.655167856198784
紫马岭 (中山),中山,2021-01,冬季,6,38,40,0.8,800.0,50,25,0.33333333333333337,0.653846153846154,0.12371134020618557,0.7142857142857142,0.6724137931034482,0.4523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,2.9499712871557877
紫马岭 (中山),中山,2021-02,冬季,5,21,43,0.6,600.0,27,15,0.24999999999999997,0.3269230769230769,0.15463917525773196,0.42857142857142855,0.27586206896551724,0.21428571428571425,-16.666666666666664,-44.73684210526315,7.499999999999996,-25.0,-46.0,-40.0,1.6502814640034689
紫马岭 (中山),中山,2021-03,春季,6,21,59,0.6,600.0,37,18,0.33333333333333337,0.3269230769230769,0.31958762886597936,0.42857142857142855,0.44827586206896547,0.2857142857142857,19.999999999999996,0.0,37.2093023255814,0.0,37.037037037037045,19.999999999999996,2.1424056154770694
