城市,PM10,PM2.5,AQI达标率,时间,季节,AQI达标率(小数),PM10环比变化率(%),PM2.5环比变化率(%),AQI达标率环比变化率(%),污染等级
东莞市,57,33,0.742,2021-01,冬季,0.742,0.0,0.0,0.0,一般
东莞市,30,19,1.0,2021-02,冬季,1.0,-47.36842105263158,-42.42424242424242,34.77088948787062,优秀
东莞市,45,23,0.935,2021-03,春季,0.935,50.0,21.052631578947366,-6.499999999999995,良好
东莞市,31,18,0.933,2021-04,春季,0.933,-31.11111111111111,-21.739130434782606,-0.21390374331551332,良好
东莞市,32,18,0.774,2021-05,春季,0.774,3.2258064516129004,0.0,-17.041800643086823,一般
东莞市,22,11,0.967,2021-06,夏季,0.967,-31.25,-38.888888888888886,24.93540051679586,优秀
中山市,51,33,0.968,2021-01,冬季,0.968,0.0,0.0,0.0,优秀
中山市,31,21,1.0,2021-02,冬季,1.0,-39.21568627450981,-36.36363636363637,3.3057851239669533,优秀
中山市,41,23,0.968,2021-03,春季,0.968,32.258064516129025,9.523809523809534,-3.200000000000003,优秀
中山市,29,17,1.0,2021-04,春季,1.0,-29.268292682926834,-26.086956521739136,3.3057851239669533,优秀
中山市,28,15,0.839,2021-05,春季,0.839,-3.4482758620689613,-11.764705882352944,-16.1,一般
中山市,21,9,1.0,2021-06,夏季,1.0,-25.0,-40.0,19.189511323003572,优秀
佛山市,62,37,0.935,2021-01,冬季,0.935,0.0,0.0,0.0,良好
佛山市,29,18,1.0,2021-02,冬季,1.0,-53.2258064516129,-51.35135135135135,6.951871657753994,优秀
佛山市,49,26,1.0,2021-03,春季,1.0,68.96551724137932,44.44444444444444,0.0,优秀
佛山市,33,19,0.967,2021-04,春季,0.967,-32.6530612244898,-26.923076923076927,-3.300000000000003,优秀
佛山市,34,20,0.742,2021-05,春季,0.742,3.0303030303030276,5.263157894736836,-23.267838676318508,一般
佛山市,20,12,1.0,2021-06,夏季,1.0,-41.17647058823529,-40.0,34.77088948787062,优秀
广州市,59,35,0.968,2021-01,冬季,0.968,0.0,0.0,0.0,优秀
广州市,31,20,1.0,2021-02,冬季,1.0,-47.45762711864406,-42.85714285714286,3.3057851239669533,优秀
广州市,47,25,1.0,2021-03,春季,1.0,51.61290322580645,25.0,0.0,优秀
广州市,33,19,0.967,2021-04,春季,0.967,-29.78723404255319,-24.0,-3.300000000000003,优秀
广州市,32,18,0.742,2021-05,春季,0.742,-3.0303030303030276,-5.263157894736848,-23.267838676318508,一般
广州市,19,12,1.0,2021-06,夏季,1.0,-40.625,-33.333333333333336,34.77088948787062,优秀
惠州市,51,29,1.0,2021-01,冬季,1.0,0.0,0.0,0.0,优秀
惠州市,29,18,1.0,2021-02,冬季,1.0,-43.13725490196079,-37.93103448275862,0.0,优秀
惠州市,42,21,1.0,2021-03,春季,1.0,44.827586206896555,16.666666666666675,0.0,优秀
惠州市,29,16,0.967,2021-04,春季,0.967,-30.952380952380953,-23.809523809523814,-3.300000000000003,优秀
惠州市,26,14,0.903,2021-05,春季,0.903,-10.344827586206895,-12.5,-6.618407445708375,良好
惠州市,19,9,1.0,2021-06,夏季,1.0,-26.923076923076927,-35.71428571428571,10.741971207087486,优秀
江门市,61,38,0.806,2021-01,冬季,0.806,0.0,0.0,0.0,一般
江门市,32,21,1.0,2021-02,冬季,1.0,-47.540983606557376,-44.73684210526315,24.06947890818858,优秀
江门市,49,28,0.968,2021-03,春季,0.968,53.125,33.33333333333333,-3.200000000000003,优秀
江门市,35,20,1.0,2021-04,春季,1.0,-28.57142857142857,-28.57142857142857,3.3057851239669533,优秀
江门市,35,19,0.742,2021-05,春季,0.742,0.0,-5.000000000000004,-25.8,一般
江门市,20,11,1.0,2021-06,夏季,1.0,-42.85714285714286,-42.10526315789473,34.77088948787062,优秀
深圳市,49,27,0.968,2021-01,冬季,0.968,0.0,0.0,0.0,优秀
深圳市,30,18,1.0,2021-02,冬季,1.0,-38.775510204081634,-33.333333333333336,3.3057851239669533,优秀
深圳市,42,21,0.968,2021-03,春季,0.968,39.99999999999999,16.666666666666675,-3.200000000000003,优秀
深圳市,29,16,1.0,2021-04,春季,1.0,-30.952380952380953,-23.809523809523814,3.3057851239669533,优秀
深圳市,27,13,0.903,2021-05,春季,0.903,-6.896551724137934,-18.75,-9.699999999999998,良好
深圳市,17,8,1.0,2021-06,夏季,1.0,-37.03703703703704,-38.46153846153846,10.741971207087486,优秀
珠海市,52,29,0.968,2021-01,冬季,0.968,0.0,0.0,0.0,优秀
珠海市,35,20,1.0,2021-02,冬季,1.0,-32.692307692307686,-31.034482758620683,3.3057851239669533,优秀
珠海市,43,21,0.968,2021-03,春季,0.968,22.857142857142865,5.000000000000004,-3.200000000000003,优秀
珠海市,27,16,1.0,2021-04,春季,1.0,-37.2093023255814,-23.809523809523814,3.3057851239669533,优秀
珠海市,27,14,0.871,2021-05,春季,0.871,0.0,-12.5,-12.9,良好
珠海市,17,10,1.0,2021-06,夏季,1.0,-37.03703703703704,-28.57142857142857,14.810562571756591,优秀
肇庆市,51,35,0.903,2021-01,冬季,0.903,0.0,0.0,0.0,良好
肇庆市,27,18,1.0,2021-02,冬季,1.0,-47.05882352941176,-48.57142857142858,10.741971207087486,优秀
肇庆市,50,29,1.0,2021-03,春季,1.0,85.18518518518519,61.111111111111114,0.0,优秀
肇庆市,35,22,1.0,2021-04,春季,1.0,-30.000000000000004,-24.13793103448276,0.0,优秀
肇庆市,36,21,0.806,2021-05,春季,0.806,2.857142857142847,-4.545454545454541,-19.399999999999995,一般
肇庆市,22,13,1.0,2021-06,夏季,1.0,-38.888888888888886,-38.095238095238095,24.06947890818858,优秀
